,Player_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,MIN_num,PLAYER_NAME
46,1630173,1,3,0.333,0,1,0.0,1,1,1.0,2,5,7,2,0,0,2,3,19,Precious Achiuwa
47,1630173,2,2,1.0,0,0,0.0,2,4,0.5,3,3,6,1,1,1,3,6,21,Precious Achiuwa
48,1630173,2,5,0.4,1,3,0.333,0,0,0.0,4,6,10,1,1,1,0,5,20,Precious Achiuwa
49,1630173,2,7,0.286,1,2,0.5,0,0,0.0,2,5,7,2,1,1,1,5,22,Precious Achiuwa
50,1630173,1,4,0.25,0,0,0.0,0,0,0.0,5,2,7,1,0,1,1,2,12,Precious Achiuwa
51,1630173,6,9,0.667,1,1,1.0,0,0,0.0,3,7,10,2,1,0,1,13,28,Precious Achiuwa
52,1630173,1,3,0.333,0,1,0.0,2,2,1.0,1,4,5,0,1,0,0,4,18,Precious Achiuwa
53,1630173,1,2,0.5,0,1,0.0,0,0,0.0,1,4,5,1,2,2,1,2,19,Precious Achiuwa
54,1630173,3,7,0.429,0,0,0.0,1,1,1.0,2,4,6,0,0,2,0,7,16,Precious Achiuwa
55,1630173,2,3,0.667,0,0,0.0,2,5,0.4,1,9,10,4,1,1,1,6,28,Precious Achiuwa
56,1630173,1,4,0.25,0,1,0.0,0,2,0.0,2,2,4,1,0,0,2,2,12,Precious Achiuwa
57,203500,2,4,0.5,0,0,0.0,0,0,0.0,2,4,6,1,0,0,1,4,17,Steven Adams
58,203500,1,2,0.5,0,0,0.0,0,0,0.0,2,6,8,1,0,2,0,2,17,Steven Adams
59,203500,4,7,0.571,0,0,0.0,0,0,0.0,6,6,12,0,2,1,0,8,23,Steven Adams
60,203500,1,2,0.5,0,1,0.0,2,2,1.0,2,5,7,0,1,0,3,4,16,Steven Adams
61,203500,2,2,1.0,0,0,0.0,2,2,1.0,2,1,3,0,0,0,0,6,12,Steven Adams
62,203500,2,2,1.0,0,0,0.0,3,4,0.75,4,3,7,1,0,0,1,7,25,Steven Adams
63,203500,6,10,0.6,0,0,0.0,2,4,0.5,10,2,12,2,0,3,1,14,22,Steven Adams
64,203500,2,2,1.0,0,0,0.0,0,2,0.0,4,4,8,1,1,0,1,4,20,Steven Adams
65,203500,1,2,0.5,0,0,0.0,1,1,1.0,1,5,6,0,1,1,4,3,23,Steven Adams
66,203500,2,4,0.5,0,0,0.0,0,4,0.0,4,5,9,3,1,0,1,4,22,Steven Adams
67,203500,0,1,0.0,0,0,0.0,1,2,0.5,2,2,4,1,0,0,0,1,11,Steven Adams
68,203500,5,6,0.833,0,0,0.0,1,3,0.333,11,6,17,1,0,0,3,11,23,Steven Adams
69,203500,3,5,0.6,0,0,0.0,0,0,0.0,3,5,8,2,2,2,1,6,18,Steven Adams
70,203500,1,2,0.5,0,0,0.0,1,2,0.5,3,5,8,6,1,0,2,3,19,Steven Adams
71,203500,1,3,0.333,0,0,0.0,1,2,0.5,2,1,3,1,0,0,0,3,15,Steven Adams
72,203500,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,2,8,Steven Adams
73,203500,2,6,0.333,0,1,0.0,0,0,0.0,2,3,5,5,2,2,1,4,19,Steven Adams
74,203500,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,5,Steven Adams
75,203500,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,1,0,1,0,6,Steven Adams
76,203500,2,5,0.4,0,0,0.0,1,3,0.333,5,1,6,0,0,0,1,5,10,Steven Adams
77,203500,1,9,0.111,0,0,0.0,0,0,0.0,9,3,12,1,0,0,0,2,22,Steven Adams
78,203500,2,4,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,4,13,Steven Adams
79,203500,4,9,0.444,0,0,0.0,0,0,0.0,7,6,13,1,0,1,1,8,26,Steven Adams
80,203500,4,5,0.8,0,0,0.0,3,6,0.5,2,5,7,0,1,3,0,11,25,Steven Adams
81,203500,4,9,0.444,0,0,0.0,3,3,1.0,7,3,10,3,1,0,1,11,23,Steven Adams
82,203500,2,3,0.667,0,0,0.0,0,0,0.0,3,1,4,0,0,0,2,4,14,Steven Adams
83,203500,4,6,0.667,0,0,0.0,6,9,0.667,2,2,4,2,1,1,1,14,15,Steven Adams
84,203500,1,2,0.5,0,0,0.0,1,4,0.25,5,6,11,2,0,2,1,3,19,Steven Adams
85,203500,1,4,0.25,0,0,0.0,0,0,0.0,5,4,9,2,1,1,0,2,17,Steven Adams
86,203500,2,2,1.0,0,0,0.0,1,2,0.5,1,4,5,2,0,2,0,5,14,Steven Adams
87,203500,1,1,1.0,0,0,0.0,0,0,0.0,2,1,3,1,0,1,1,2,7,Steven Adams
88,203500,1,2,0.5,0,0,0.0,0,1,0.0,6,1,7,1,0,1,2,2,13,Steven Adams
89,203500,0,0,0.0,0,0,0.0,0,2,0.0,4,5,9,0,0,0,2,0,12,Steven Adams
90,203500,0,1,0.0,0,0,0.0,0,2,0.0,2,4,6,0,0,0,1,0,11,Steven Adams
91,203500,3,4,0.75,0,0,0.0,2,4,0.5,7,2,9,1,1,1,0,8,17,Steven Adams
92,203500,2,4,0.5,0,0,0.0,2,2,1.0,4,0,4,1,0,0,0,6,7,Steven Adams
93,203500,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,0,0,0,0,4,7,Steven Adams
94,203500,2,3,0.667,0,0,0.0,0,0,0.0,5,4,9,3,0,0,0,4,12,Steven Adams
95,203500,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,0,0,3,Steven Adams
96,203500,1,1,1.0,0,0,0.0,0,1,0.0,0,5,5,0,0,1,1,2,11,Steven Adams
97,203500,1,1,1.0,0,0,0.0,0,2,0.0,4,4,8,3,0,1,0,2,12,Steven Adams
98,203500,1,1,1.0,0,0,0.0,0,0,0.0,1,3,4,1,1,0,2,2,10,Steven Adams
99,203500,1,2,0.5,0,0,0.0,2,4,0.5,3,3,6,0,0,0,1,4,6,Steven Adams
100,203500,2,2,1.0,0,0,0.0,0,2,0.0,1,3,4,0,0,0,1,4,10,Steven Adams
101,203500,3,4,0.75,0,0,0.0,0,0,0.0,4,2,6,3,0,1,0,6,18,Steven Adams
102,203500,0,1,0.0,0,0,0.0,1,2,0.5,2,4,6,0,0,0,1,1,11,Steven Adams
103,203500,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,4,Steven Adams
104,203500,0,2,0.0,0,0,0.0,2,4,0.5,2,2,4,0,0,1,1,2,7,Steven Adams
105,203500,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,3,0,0,3,1,15,Steven Adams
106,203500,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,5,Steven Adams
107,203500,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,7,Steven Adams
108,203500,1,2,0.5,0,0,0.0,0,0,0.0,3,4,7,1,0,0,4,2,15,Steven Adams
109,203500,2,2,1.0,0,0,0.0,1,3,0.333,1,1,2,1,1,0,3,5,16,Steven Adams
110,203500,1,4,0.25,0,0,0.0,2,4,0.5,3,2,5,3,0,0,1,4,14,Steven Adams
111,203500,0,0,0.0,0,0,0.0,0,0,0.0,1,0,1,3,1,0,0,0,10,Steven Adams
112,203500,3,3,1.0,0,0,0.0,0,1,0.0,1,2,3,0,0,0,1,6,14,Steven Adams
113,1628389,8,12,0.667,4,6,0.667,3,4,0.75,3,9,12,4,2,0,0,23,22,Bam Adebayo
114,1628389,6,15,0.4,2,3,0.667,4,6,0.667,0,6,6,3,1,0,1,18,35,Bam Adebayo
115,1628389,11,25,0.44,3,7,0.429,6,6,1.0,2,10,12,5,2,1,2,31,43,Bam Adebayo
116,1628389,11,26,0.423,2,4,0.5,2,2,1.0,3,4,7,5,1,2,2,26,34,Bam Adebayo
117,1628389,9,15,0.6,2,3,0.667,1,1,1.0,0,5,5,6,0,0,0,21,31,Bam Adebayo
118,1628389,11,19,0.579,2,5,0.4,4,7,0.571,3,9,12,5,1,1,1,28,31,Bam Adebayo
119,1628389,5,14,0.357,2,2,1.0,4,5,0.8,2,5,7,5,0,0,1,16,28,Bam Adebayo
120,1628389,4,9,0.444,1,2,0.5,3,4,0.75,0,10,10,4,3,0,3,12,38,Bam Adebayo
121,1628389,9,18,0.5,2,3,0.667,7,9,0.778,1,7,8,1,1,1,3,27,34,Bam Adebayo
122,1628389,4,10,0.4,1,3,0.333,2,2,1.0,3,1,4,2,2,0,2,11,32,Bam Adebayo
123,1628389,6,13,0.462,2,4,0.5,2,3,0.667,1,5,6,6,0,0,2,16,38,Bam Adebayo
124,1628389,12,24,0.5,2,5,0.4,4,4,1.0,3,6,9,8,1,1,2,30,37,Bam Adebayo
125,1628389,5,12,0.417,0,1,0.0,2,2,1.0,2,5,7,4,1,2,4,12,34,Bam Adebayo
126,1628389,7,15,0.467,2,4,0.5,2,2,1.0,2,4,6,0,1,2,3,18,30,Bam Adebayo
127,1628389,3,7,0.429,0,1,0.0,3,3,1.0,3,6,9,2,0,1,2,9,33,Bam Adebayo
128,1628389,2,7,0.286,0,1,0.0,2,2,1.0,1,6,7,7,5,0,1,6,35,Bam Adebayo
129,1628389,8,16,0.5,2,4,0.5,5,7,0.714,4,10,14,8,1,0,1,23,38,Bam Adebayo
130,1628389,8,17,0.471,1,4,0.25,5,6,0.833,1,5,6,2,2,0,2,22,38,Bam Adebayo
131,1628389,11,21,0.524,1,5,0.2,6,7,0.857,1,12,13,4,1,0,2,29,43,Bam Adebayo
132,1628389,11,18,0.611,3,5,0.6,9,9,1.0,2,10,12,5,2,0,2,34,38,Bam Adebayo
133,1628389,7,16,0.438,0,2,0.0,5,6,0.833,3,12,15,5,2,1,2,19,31,Bam Adebayo
134,1628389,12,16,0.75,0,2,0.0,6,8,0.75,2,5,7,4,1,0,3,30,42,Bam Adebayo
135,1628389,8,14,0.571,2,4,0.5,0,0,0.0,2,5,7,7,2,0,0,18,31,Bam Adebayo
136,1628389,9,12,0.75,1,2,0.5,1,2,0.5,1,8,9,3,0,1,2,20,35,Bam Adebayo
137,1628389,5,13,0.385,0,2,0.0,4,4,1.0,3,2,5,1,2,0,4,14,37,Bam Adebayo
138,1628389,10,16,0.625,2,2,1.0,2,3,0.667,2,5,7,1,1,0,0,24,35,Bam Adebayo
139,1628389,8,13,0.615,0,1,0.0,3,4,0.75,3,9,12,1,0,0,0,19,37,Bam Adebayo
140,1628389,11,19,0.579,3,4,0.75,2,2,1.0,2,13,15,4,1,1,3,27,35,Bam Adebayo
141,1628389,6,17,0.353,1,5,0.2,9,10,0.9,6,6,12,4,0,0,0,22,34,Bam Adebayo
142,1628389,7,14,0.5,1,3,0.333,3,4,0.75,1,7,8,1,0,2,1,18,37,Bam Adebayo
143,1628389,8,16,0.5,1,3,0.333,1,2,0.5,8,5,13,4,0,0,7,18,34,Bam Adebayo
144,1628389,10,17,0.588,1,4,0.25,2,5,0.4,2,6,8,4,0,0,3,23,35,Bam Adebayo
